Dates,value
2021-05-31,2.0338983
2021-06-07,3
2021-06-14,5
2021-06-21,7.000000000000001
2021-06-28,11.4262023
2021-07-05,20.7697894
2021-07-12,33.1146483
2021-07-19,44.448515900000004
2021-07-26,67
2021-08-02,79
2021-08-09,85
2021-08-16,89
2021-08-23,92
2021-08-30,91
2021-09-06,91
2021-09-13,90
2021-09-20,88
2021-09-27,84
