Dates,Food,Housing,"Fuel, light, and water charges",Furniture and household utensils,Clothing and footwear,Medical care,Transportation and communication,Education,Culture and recreation,The other household consumption expenditures
2020-09-05,3261.32,410.81,4.94,497.54,292.67,389.33,1461.94,1.65,632.73,763.7
2020-09-06,2794.79,206.23,3.17,378.38,291.19,148.33,422.09,1.28,558.15,699.77
2020-09-07,1847.45,684,1.54,246.92,107.73,454.06,289.18,0.65,255.08,479.74
2020-09-08,2515.78,285.73,13.08,325.63,128.3,623.03,242.5,1.82,522.91,785.18
2020-09-09,2247.39,64.61,5.02,387.08,153.21,467.26,744.47,1.16,330.82,580.56
2020-09-10,2297.16,91.22,7.2,356.26,186.36,423.47,772,1.63,479.28,735.04
2020-09-11,2430.74,509.52,1.13,331.08,132.85,508.28,550.95,2.38,335.99,747.98
2020-09-12,2983.02,96.32,4.59,344.55,438.49,496.25,547.23,5.03,618.69,657.02
2020-09-13,2936.86,20.2,5.83,384.49,273.87,208.81,632.68,7.11,706.75,819.78
2020-09-14,2145.55,579.35,7.57,312.21,154.81,576.1,458.08,19.68,341.74,589.77
2020-09-15,2362.81,200.25,8.23,321.54,162.58,521.28,1028.01,3.09,474.03,1045.9
2020-09-16,2419.74,603.67,7.57,316.45,213.47,572.75,498.99,2.82,394.26,1376.23
2020-09-17,2268.35,231.8,5.35,250.17,113.92,484.65,488.2,14.89,341.79,912.28
2020-09-18,2487.69,102.75,3.36,247.43,260.07,530.32,531.28,2.93,453.79,1562.42
2020-09-19,3275.28,40.39,7.02,422.75,330.61,426.57,1508.63,3.04,693.22,942.24
2020-09-20,3310.53,82.63,3.74,709.28,457.44,211.33,1079.9,3.9,661.38,924.36
2020-09-21,3198.02,24.44,4.92,511.48,453.26,162.34,395.3,5.05,778.1,765.74
2020-09-22,3110.98,34.96,4.85,636.48,338.78,170.2,1156.22,1.44,700.47,546.07
2020-09-23,2223.88,166.82,12.75,341.46,166.47,487.57,807.1,8.32,313.42,1080.68
2020-09-24,2036.3,583.42,3.35,233.31,214.73,426.84,1399.7,5.99,326.35,626.05
2020-09-25,2403.88,355.09,8.69,507.43,239.03,557.11,350.12,9.29,410.75,2051.63
2020-09-26,3042.84,43.02,9.62,431.34,355.69,416.91,1228.37,10.7,578.34,935.28
2020-09-27,3053.97,55.82,4.9,588.59,433.18,203.59,564.43,1.99,553.33,818.42
2020-09-28,2232.94,360.45,11.84,393.61,231.7,504.08,393.51,1.81,514.6,1068.15
2020-09-29,2421.8,585.64,1.92,290.94,197.16,504.2,299.12,8.09,381.57,705.73
2020-09-30,2412.64,665.93,7.88,386.72,526.28,571.82,964.23,9.85,441.14,1606.37
2020-10-01,2516.99,302.04,7.64,337.93,285.87,529.61,615.47,7.5,432.21,2120.66
2020-10-02,2339.2,222.86,4.96,354.74,216.59,450.71,463.8,14.96,434.93,779.59
2020-10-03,3051.2,94.47,4.38,566.05,452.07,559.06,705.78,3.99,754.85,956.77
2020-10-04,3033.87,64.18,7.44,462.28,427.63,282.12,503.74,4.87,621.06,788.01
2020-10-05,2166.88,233.2,17.71,317.38,287.76,499.81,348.9,5.01,428.02,1011.73
2020-10-06,2372.82,89.48,6.73,245.33,244.93,592.37,226.87,3.94,419.11,685.59
